match_id,inning,total_runs,is_wicket,over,team1,team2,toss_winner,venue,batting_strength,bowling_strength,target_score
598055,1,-1.6700687205489204,0.03021989426077607,0.16177922310338594,Pune Warriors,Mumbai Indians,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",-0.3910811315025669,0.9877133236792895,-1.6700687205489204
598056,1,-0.484893575376485,0.03021989426077607,0.16177922310338594,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",-1.1826083353322794,-0.059646599420722396,-0.484893575376485
598057,1,-1.5765022617195177,0.03021989426077607,0.16177922310338594,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,"JSCA International Stadium Complex, Ranchi",0.8741460466168111,-1.635659995621107,-1.5765022617195177
598058,1,-0.7655929518646933,0.03021989426077607,0.16177922310338594,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",0.8008378082715636,1.1283599274444278,-0.7655929518646933
598059,1,-1.4205581636705131,0.03021989426077607,0.16177922310338594,Delhi Capitals,Punjab Kings,Punjab Kings,"Feroz Shah Kotla, Delhi",-0.7322650901106743,-1.2848415563679223,-1.4205581636705131
598060,1,0.3883933736979412,0.03021989426077607,0.16177922310338594,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",1.0186383891560833,-0.059646599420722396,0.3883933736979412
598061,1,0.13888281681953374,0.03021989426077607,0.16177922310338594,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,"JSCA International Stadium Complex, Ranchi",0.8741460466168111,-0.46767327180344176,0.13888281681953374
598062,1,0.07650517759993186,0.03021989426077607,0.16177922310338594,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",1.1548717882113313,-0.8199096937833075,0.07650517759993186
598063,1,0.014127538380329992,0.03021989426077607,0.16177922310338594,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai",1.0186383891560833,0.7628572148842713,0.014127538380329992
598064,1,0.7626592090155524,0.03021989426077607,0.16177922310338594,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali",-1.1826083353322794,-1.635659995621107,0.7626592090155524
598065,1,-0.9215370499136981,0.03021989426077607,0.16177922310338594,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.0041424927857442164,0.7628572148842713,-0.9215370499136981
598066,1,0.5443374717469459,0.03021989426077607,0.16177922310338594,Punjab Kings,Mumbai Indians,Mumbai Indians,"Himachal Pradesh Cricket Association Stadium, Dharamsala",-1.1826083353322794,0.9877133236792895,0.5443374717469459
598067,1,0.20126045603913562,0.03021989426077607,0.16177922310338594,Pune Warriors,Delhi Capitals,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune",-0.3910811315025669,-0.8199096937833075,0.20126045603913562
598068,1,-1.857201638207726,0.03021989426077607,-11.20602287089936,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",-1.522418804631111,1.1283599274444278,-1.857201638207726
598069,1,-1.1086699675725036,0.03021989426077607,0.16177922310338594,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.0041424927857442164,0.8385402325786546,-1.1086699675725036
598070,1,0.8250368482351543,0.03021989426077607,0.16177922310338594,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"Feroz Shah Kotla, Delhi",1.1548717882113313,0.9877133236792895,0.8250368482351543
598071,1,-1.0462923283529018,0.03021989426077607,0.16177922310338594,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",0.8008378082715636,-0.059646599420722396,-1.0462923283529018
598072,1,-0.017061281229470943,0.03021989426077607,0.16177922310338594,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,"Eden Gardens, Kolkata",1.0186383891560833,0.7628572148842713,-0.017061281229470943
598073,1,-0.5472712145960869,0.03021989426077607,0.16177922310338594,Chennai Super Kings,Mumbai Indians,Mumbai Indians,"Eden Gardens, Kolkata",1.1548717882113313,0.9877133236792895,-0.5472712145960869
